3.42,4.22,6.71,89.93,7.9,25.59,8.39,1.6,8.15,4.29,1.25,10.87,15,0.49,1399,408,326,160,30,2,48,29,82,15,5,7,53,29,3,0,0,0,0,0,0
7.76,8.83,11.04,64.73,12.61,41.83,11.59,3.92,8.92,4.92,1.51,14.19,13,0.5,1815,557,369,185,26,2,102,64,107,24,5,15,33,51,6,0,0,0,0,0,0
24.5,29.64,6.31,36.98,29.43,76.23,15.25,6.75,9.18,3.84,1.22,66,2,0.45,1013,321,264,118,4,2,27,20,38,13,10,11,41,33,0,0,0,0,0,0,0
6.09,9.08,11.66,75.48,9.94,39.17,9.78,3.47,10.07,5.04,1.39,13.53,16,0.47,2183,602,433,202,32,2,111,49,158,13,4,20,43,33,4,0,0,0,0,0,0
14.1,17.35,8.05,61.8,18.91,49.91,13.25,4.5,8.92,4.19,1.26,38.1,5,0.4,1596,479,381,151,10,2,45,35,82,6,6,21,47,39,0,0,0,0,0,0,0
5.93,7.64,8.34,82.11,11.46,35.48,10.75,3.13,9.06,4.41,1.28,16.6,15,0.53,2196,635,498,262,30,2,94,60,145,16,12,21,45,62,12,0,0,0,0,0,0
6.35,7.3,6.14,85.03,11.52,31.89,10.29,2.38,6.82,3.98,1.2,19.92,6.5,0.52,1032,311,259,134,13,2,31,23,36,17,9,9,39,35,2,0,0,0,0,0,0
8.41,8.11,7.88,67.88,12.74,38.31,11.6,3.67,8.12,4.3,1.42,18.6,7.5,0.5,1199,396,279,139,15,2,55,37,63,10,7,13,29,38,5,0,0,0,0,0,0
3.5,3.88,4.95,94.93,8.65,26.14,8.66,1.7,7,3.89,1.15,14,15,0.43,1633,485,420,181,30,2,51,32,71,19,14,7,59,54,4,0,0,0,0,0,0
5.84,5.7,6.21,81.78,10.57,28.51,10.07,2,6.65,4.06,1.29,16.04,12,0.34,1562,495,385,132,24,2,48,40,54,18,24,11,73,43,2,0,0,0,0,0,0
6.97,7.82,8.33,75.48,11.44,36.48,10.69,3.31,7.95,4.4,1.35,17.06,16,0.42,2402,736,546,231,32,2,106,63,120,18,7,25,56,78,5,0,0,0,0,0,0
5.55,6.06,6.82,83.27,9.89,30.2,9.51,2.28,7.84,4.17,1.27,15.72,14.5,0.45,1900,580,456,205,29,2,66,41,99,23,12,14,60,70,2,0,0,0,0,0,0
8.59,11.39,8.03,79.07,13.68,36.54,11.12,2.8,8.11,4.25,1.2,25.6,2.5,0.59,544,154,128,75,5,2,14,11,26,1,5,7,16,17,1,0,0,0,0,0,0
11.2,13.35,7.62,69.09,16.13,45.8,12.49,4.67,8,4.15,1.26,30.5,3,0.54,759,231,183,98,6,2,28,18,33,7,4,10,20,26,0,0,0,0,0,0,0
